ID;SDN_P01_code;Aquo_Grootheid_code;Aquo_ChemischeStof_code;Aquo_biotaxon_code;Aquo_Parameter_code;Aquo_Compartiment_code;Aquo_Monstercriterium_code;Aquo_Hoedanigheid_code;D_BEGIN;D_EIND;D_STATUS;DONAR_PAR;DONAR_HDH;DONAR_CPM
0;PHMASSXX;pH;NVT;;;OW;;NVT;;;;;;
0;DOXMZZXX;CONCTTE;O2;;;OW;;NVT;;;;;;
0;AMONAAD4;CONCTTE;NH4;;;OW;;Nnf;;;;;;
0;SPM02WE1;CONCTTE;ZS;;;OW;;NVT;;;;;;
0;NTRIMADZ;CONCTTE;NO2;;;OW;;Nnf;;;;;;
0;NTRAXXDZ;CONCTTE;NO3;;;OW;;Nnf;;;;;;
0;NTOTKJM1;CONCTTE;NKj;;;OW;;N;;;;;;
0;PHAEZZXX;CONCTTE;FEOa;;;OW;;NVT;;;;;;
0;MDMAP013;CONCTTE;Ntot;;;OW;;N;;;;;;
0;TPHSDSZZ;CONCTTE;Ptot;;;OW;;P;;;;;;
0;PPSBPR01;SENSHTE;NVT;;;OW;;WATSGL;;;;;;
0;BODZZZZZ;CONCTTE;BZV5a;;;OW;;NVT;;;;;;
0;CPHLHPP1;VOLMFTE;CHLFa;;;OW;;NVT;;;;;;
0;SECCSDNX;ZICHT;NVT;;;OW;;NVT;;;;;;
0;SLCAAAD1;CONCTTE;SiO2;;;OW;;Sinf;;;;SiO2;Sinf;10
0;NTOTCAP1;CONCTTE;Ntot;;;OW;;Npg;;;;;;
0;CORGWCDZ;CONCTTE;Corg;;;OW;;Cnf;;;;;;
0;MDMAP010;CONCTTE;Corg;;;OW;;Cpg;;;;;;
0;TPHSDSZZ;CONCTTE;Ptot;;;OW;;Pnf;;;;;;
0;TPHSVLPT;CONCTTE;Ptot;;;OW;;pg;;;;;;
0;NTOTWCDZ;CONCTTE;Ntot;;;OW;;Nnf;;;;;;
0;CODZZZZZ;CONCTTE;CZV;;;OW;;NVT;;;;;;
0;RXXXPARK;E;;;NVT;OW;;NVT;;;;E;NVT;10
